Sphere 1, 0.0s, DBG: -- BEGIN DEBUG LOGS -- 
Sphere 1, 0.0s, DBG: Using func: api.setAttRateTarget 
Sphere 1, 0.0s, DBG: Degrees / Second: 15.0 
Sphere 1, 0.0s, DBG: Omega: -0.002 rad / s | -0.140 deg / s) 
Sphere 1, 1.0s, DBG: Omega: 0.057 rad / s | 3.263 deg / s) 
Sphere 1, 2.0s, DBG: Omega: 0.094 rad / s | 5.384 deg / s) 
Sphere 1, 3.0s, DBG: Omega: 0.128 rad / s | 7.346 deg / s) 
Sphere 1, 4.0s, DBG: Omega: 0.153 rad / s | 8.787 deg / s) 
Sphere 1, 5.0s, DBG: Omega: 0.176 rad / s | 10.068 deg / s) 
Sphere 1, 6.0s, DBG: Omega: 0.190 rad / s | 10.869 deg / s) 
Sphere 1, 7.0s, DBG: Omega: 0.202 rad / s | 11.549 deg / s) 
Sphere 1, 8.0s, DBG: Omega: 0.212 rad / s | 12.150 deg / s) 
Sphere 1, 9.0s, DBG: Omega: 0.227 rad / s | 12.991 deg / s) 
Sphere 1, 10.0s, DBG: Omega: 0.232 rad / s | 13.311 deg / s) 
Sphere 1, 11.0s, DBG: Omega: 0.227 rad / s | 13.031 deg / s) 
Sphere 1, 12.0s, DBG: Omega: 0.234 rad / s | 13.431 deg / s) 
Sphere 1, 13.0s, DBG: Omega: 0.231 rad / s | 13.231 deg / s) 
Sphere 1, 14.0s, DBG: Omega: 0.237 rad / s | 13.591 deg / s) 
Sphere 1, 15.0s, DBG: Omega: 0.241 rad / s | 13.791 deg / s) 
Sphere 1, 16.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 17.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 18.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 19.0s, DBG: Omega: 0.241 rad / s | 13.831 deg / s) 
Sphere 1, 20.0s, DBG: Omega: 0.243 rad / s | 13.951 deg / s) 
Sphere 1, 21.0s, DBG: Omega: 0.243 rad / s | 13.951 deg / s) 
Sphere 1, 22.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 23.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 24.0s, DBG: Omega: 0.245 rad / s | 14.031 deg / s) 
Sphere 1, 25.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 26.0s, DBG: Omega: 0.248 rad / s | 14.192 deg / s) 
Sphere 1, 27.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 28.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 29.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 30.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 31.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 32.0s, DBG: Omega: 0.246 rad / s | 14.111 deg / s) 
Sphere 1, 33.0s, DBG: Omega: 0.241 rad / s | 13.831 deg / s) 
Sphere 1, 34.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 35.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 36.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 37.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 38.0s, DBG: Omega: 0.239 rad / s | 13.671 deg / s) 
Sphere 1, 39.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 40.0s, DBG: Omega: 0.241 rad / s | 13.791 deg / s) 
Sphere 1, 41.0s, DBG: Omega: 0.243 rad / s | 13.951 deg / s) 
Sphere 1, 42.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 43.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 44.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 45.0s, DBG: Omega: 0.243 rad / s | 13.951 deg / s) 
Sphere 1, 46.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 47.0s, DBG: Omega: 0.246 rad / s | 14.071 deg / s) 
Sphere 1, 48.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 49.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 50.0s, DBG: Omega: 0.246 rad / s | 14.071 deg / s) 
Sphere 1, 51.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 52.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 53.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 54.0s, DBG: Omega: 0.237 rad / s | 13.591 deg / s) 
Sphere 1, 55.0s, DBG: Omega: 0.237 rad / s | 13.551 deg / s) 
Sphere 1, 56.0s, DBG: Omega: 0.241 rad / s | 13.831 deg / s) 
Sphere 1, 57.0s, DBG: Omega: 0.241 rad / s | 13.831 deg / s) 
Sphere 1, 58.0s, DBG: Omega: 0.239 rad / s | 13.711 deg / s) 
Sphere 1, 59.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 60.0s, DBG: Omega: 0.240 rad / s | 13.751 deg / s) 
Sphere 1, 61.0s, DBG: Omega: 0.239 rad / s | 13.711 deg / s) 
Sphere 1, 62.0s, DBG: Omega: 0.242 rad / s | 13.871 deg / s) 
Sphere 1, 63.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 64.0s, DBG: Omega: 0.243 rad / s | 13.911 deg / s) 
Sphere 1, 65.0s, DBG: Omega: 0.244 rad / s | 13.991 deg / s) 
Sphere 1, 66.0s, DBG: Omega: 0.246 rad / s | 14.071 deg / s) 
Sphere 1, 67.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 68.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 69.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 70.0s, DBG: Omega: 0.252 rad / s | 14.432 deg / s) 
Sphere 1, 71.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 72.0s, DBG: Omega: 0.253 rad / s | 14.472 deg / s) 
Sphere 1, 73.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 74.0s, DBG: Omega: 0.252 rad / s | 14.432 deg / s) 
Sphere 1, 75.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 76.0s, DBG: Omega: 0.254 rad / s | 14.552 deg / s) 
Sphere 1, 77.0s, DBG: Omega: 0.253 rad / s | 14.472 deg / s) 
Sphere 1, 78.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 79.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 80.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 81.0s, DBG: Omega: 0.245 rad / s | 14.031 deg / s) 
Sphere 1, 82.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 83.0s, DBG: Omega: 0.248 rad / s | 14.192 deg / s) 
Sphere 1, 84.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 85.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 86.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 87.0s, DBG: Omega: 0.248 rad / s | 14.192 deg / s) 
Sphere 1, 88.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 89.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 90.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 91.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 92.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 93.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 94.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 95.0s, DBG: Omega: 0.256 rad / s | 14.672 deg / s) 
Sphere 1, 96.0s, DBG: Omega: 0.257 rad / s | 14.752 deg / s) 
Sphere 1, 97.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 98.0s, DBG: Omega: 0.255 rad / s | 14.632 deg / s) 
Sphere 1, 99.0s, DBG: Omega: 0.257 rad / s | 14.752 deg / s) 
Sphere 1, 100.0s, DBG: Omega: 0.262 rad / s | 14.992 deg / s) 
Sphere 1, 101.0s, DBG: Omega: 0.260 rad / s | 14.912 deg / s) 
Sphere 1, 102.0s, DBG: Omega: 0.256 rad / s | 14.672 deg / s) 
Sphere 1, 103.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 104.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 105.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 106.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 107.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 108.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 109.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 110.0s, DBG: Omega: 0.246 rad / s | 14.111 deg / s) 
Sphere 1, 111.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 112.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 113.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 114.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 115.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 116.0s, DBG: Omega: 0.257 rad / s | 14.712 deg / s) 
Sphere 1, 117.0s, DBG: Omega: 0.260 rad / s | 14.872 deg / s) 
Sphere 1, 118.0s, DBG: Omega: 0.261 rad / s | 14.952 deg / s) 
Sphere 1, 119.0s, DBG: Omega: 0.258 rad / s | 14.792 deg / s) 
Sphere 1, 120.0s, DBG: Omega: 0.261 rad / s | 14.952 deg / s) 
Sphere 1, 121.0s, DBG: Omega: 0.260 rad / s | 14.912 deg / s) 
Sphere 1, 122.0s, DBG: Omega: 0.261 rad / s | 14.952 deg / s) 
Sphere 1, 123.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 124.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 125.0s, DBG: Omega: 0.261 rad / s | 14.952 deg / s) 
Sphere 1, 126.0s, DBG: Omega: 0.258 rad / s | 14.792 deg / s) 
Sphere 1, 127.0s, DBG: Omega: 0.258 rad / s | 14.792 deg / s) 
Sphere 1, 128.0s, DBG: Omega: 0.258 rad / s | 14.792 deg / s) 
Sphere 1, 129.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 130.0s, DBG: Omega: 0.252 rad / s | 14.432 deg / s) 
Sphere 1, 131.0s, DBG: Omega: 0.254 rad / s | 14.552 deg / s) 
Sphere 1, 132.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 133.0s, DBG: Omega: 0.253 rad / s | 14.472 deg / s) 
Sphere 1, 134.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 135.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 136.0s, DBG: Omega: 0.252 rad / s | 14.432 deg / s) 
Sphere 1, 137.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 138.0s, DBG: Omega: 0.248 rad / s | 14.192 deg / s) 
Sphere 1, 139.0s, DBG: Omega: 0.248 rad / s | 14.192 deg / s) 
Sphere 1, 140.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 141.0s, DBG: Omega: 0.253 rad / s | 14.512 deg / s) 
Sphere 1, 142.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 143.0s, DBG: Omega: 0.255 rad / s | 14.632 deg / s) 
Sphere 1, 144.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 145.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 146.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 147.0s, DBG: Omega: 0.253 rad / s | 14.472 deg / s) 
Sphere 1, 148.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 149.0s, DBG: Omega: 0.250 rad / s | 14.312 deg / s) 
Sphere 1, 150.0s, DBG: Omega: 0.255 rad / s | 14.592 deg / s) 
Sphere 1, 151.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 152.0s, DBG: Omega: 0.249 rad / s | 14.272 deg / s) 
Sphere 1, 153.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 154.0s, DBG: Omega: 0.245 rad / s | 14.031 deg / s) 
Sphere 1, 155.0s, DBG: Omega: 0.246 rad / s | 14.071 deg / s) 
Sphere 1, 156.0s, DBG: Omega: 0.246 rad / s | 14.071 deg / s) 
Sphere 1, 157.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 158.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 159.0s, DBG: Omega: 0.246 rad / s | 14.111 deg / s) 
Sphere 1, 160.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 161.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 162.0s, DBG: Omega: 0.248 rad / s | 14.232 deg / s) 
Sphere 1, 163.0s, DBG: Omega: 0.247 rad / s | 14.152 deg / s) 
Sphere 1, 164.0s, DBG: Omega: 0.250 rad / s | 14.352 deg / s) 
Sphere 1, 165.0s, DBG: Omega: 0.252 rad / s | 14.432 deg / s) 
Sphere 1, 166.0s, DBG: Omega: 0.256 rad / s | 14.672 deg / s) 
Sphere 1, 167.0s, DBG: Omega: 0.255 rad / s | 14.632 deg / s) 
Sphere 1, 168.0s, DBG: Omega: 0.257 rad / s | 14.712 deg / s) 
Sphere 1, 169.0s, DBG: Omega: 0.255 rad / s | 14.632 deg / s) 
Sphere 1, 170.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 171.0s, DBG: Omega: 0.256 rad / s | 14.672 deg / s) 
Sphere 1, 172.0s, DBG: Omega: 0.257 rad / s | 14.752 deg / s) 
Sphere 1, 173.0s, DBG: Omega: 0.258 rad / s | 14.792 deg / s) 
Sphere 1, 174.0s, DBG: Omega: 0.260 rad / s | 14.912 deg / s) 
Sphere 1, 175.0s, DBG: Omega: 0.259 rad / s | 14.832 deg / s) 
Sphere 1, 176.0s, DBG: Omega: 0.257 rad / s | 14.712 deg / s) 
