Sphere 1, 0.0s, DBG: -- BEGIN DEBUG LOGS -- 
Sphere 1, 0.0s, DBG: Using func: api.setAttRateTarget 
Sphere 1, 0.0s, DBG: Degrees / Second: 20.0 
Sphere 1, 0.0s, DBG: Omega: -0.002 rad / s | -0.140 deg / s) 
Sphere 1, 1.0s, DBG: Omega: 0.069 rad / s | 3.943 deg / s) 
Sphere 1, 2.0s, DBG: Omega: 0.122 rad / s | 6.986 deg / s) 
Sphere 1, 3.0s, DBG: Omega: 0.167 rad / s | 9.548 deg / s) 
Sphere 1, 4.0s, DBG: Omega: 0.204 rad / s | 11.669 deg / s) 
Sphere 1, 5.0s, DBG: Omega: 0.231 rad / s | 13.231 deg / s) 
Sphere 1, 6.0s, DBG: Omega: 0.251 rad / s | 14.392 deg / s) 
Sphere 1, 7.0s, DBG: Omega: 0.269 rad / s | 15.393 deg / s) 
Sphere 1, 8.0s, DBG: Omega: 0.285 rad / s | 16.353 deg / s) 
Sphere 1, 9.0s, DBG: Omega: 0.297 rad / s | 16.994 deg / s) 
Sphere 1, 10.0s, DBG: Omega: 0.310 rad / s | 17.754 deg / s) 
Sphere 1, 11.0s, DBG: Omega: 0.320 rad / s | 18.315 deg / s) 
Sphere 1, 12.0s, DBG: Omega: 0.318 rad / s | 18.235 deg / s) 
Sphere 1, 13.0s, DBG: Omega: 0.320 rad / s | 18.355 deg / s) 
Sphere 1, 14.0s, DBG: Omega: 0.326 rad / s | 18.675 deg / s) 
Sphere 1, 15.0s, DBG: Omega: 0.324 rad / s | 18.555 deg / s) 
Sphere 1, 16.0s, DBG: Omega: 0.325 rad / s | 18.595 deg / s) 
Sphere 1, 17.0s, DBG: Omega: 0.327 rad / s | 18.755 deg / s) 
Sphere 1, 18.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 19.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 20.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 21.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 22.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 23.0s, DBG: Omega: 0.327 rad / s | 18.755 deg / s) 
Sphere 1, 24.0s, DBG: Omega: 0.324 rad / s | 18.555 deg / s) 
Sphere 1, 25.0s, DBG: Omega: 0.320 rad / s | 18.355 deg / s) 
Sphere 1, 26.0s, DBG: Omega: 0.324 rad / s | 18.555 deg / s) 
Sphere 1, 27.0s, DBG: Omega: 0.326 rad / s | 18.675 deg / s) 
Sphere 1, 28.0s, DBG: Omega: 0.325 rad / s | 18.635 deg / s) 
Sphere 1, 29.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 30.0s, DBG: Omega: 0.327 rad / s | 18.755 deg / s) 
Sphere 1, 31.0s, DBG: Omega: 0.325 rad / s | 18.635 deg / s) 
Sphere 1, 32.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 33.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 34.0s, DBG: Omega: 0.329 rad / s | 18.835 deg / s) 
Sphere 1, 35.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 36.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 37.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 38.0s, DBG: Omega: 0.326 rad / s | 18.675 deg / s) 
Sphere 1, 39.0s, DBG: Omega: 0.325 rad / s | 18.595 deg / s) 
Sphere 1, 40.0s, DBG: Omega: 0.325 rad / s | 18.595 deg / s) 
Sphere 1, 41.0s, DBG: Omega: 0.320 rad / s | 18.355 deg / s) 
Sphere 1, 42.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 43.0s, DBG: Omega: 0.327 rad / s | 18.755 deg / s) 
Sphere 1, 44.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 45.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 46.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 47.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 48.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 49.0s, DBG: Omega: 0.333 rad / s | 19.076 deg / s) 
Sphere 1, 50.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 51.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 52.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 53.0s, DBG: Omega: 0.335 rad / s | 19.196 deg / s) 
Sphere 1, 54.0s, DBG: Omega: 0.337 rad / s | 19.316 deg / s) 
Sphere 1, 55.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 56.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 57.0s, DBG: Omega: 0.341 rad / s | 19.516 deg / s) 
Sphere 1, 58.0s, DBG: Omega: 0.341 rad / s | 19.556 deg / s) 
Sphere 1, 59.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 60.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 61.0s, DBG: Omega: 0.341 rad / s | 19.556 deg / s) 
Sphere 1, 62.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 63.0s, DBG: Omega: 0.339 rad / s | 19.396 deg / s) 
Sphere 1, 64.0s, DBG: Omega: 0.336 rad / s | 19.276 deg / s) 
Sphere 1, 65.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 66.0s, DBG: Omega: 0.339 rad / s | 19.396 deg / s) 
Sphere 1, 67.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 68.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 69.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 70.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 71.0s, DBG: Omega: 0.341 rad / s | 19.516 deg / s) 
Sphere 1, 72.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 73.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 74.0s, DBG: Omega: 0.337 rad / s | 19.316 deg / s) 
Sphere 1, 75.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 76.0s, DBG: Omega: 0.343 rad / s | 19.636 deg / s) 
Sphere 1, 77.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 78.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 79.0s, DBG: Omega: 0.336 rad / s | 19.276 deg / s) 
Sphere 1, 80.0s, DBG: Omega: 0.335 rad / s | 19.196 deg / s) 
Sphere 1, 81.0s, DBG: Omega: 0.327 rad / s | 18.755 deg / s) 
Sphere 1, 82.0s, DBG: Omega: 0.332 rad / s | 19.035 deg / s) 
Sphere 1, 83.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 84.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 85.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 86.0s, DBG: Omega: 0.329 rad / s | 18.835 deg / s) 
Sphere 1, 87.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 88.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 89.0s, DBG: Omega: 0.333 rad / s | 19.076 deg / s) 
Sphere 1, 90.0s, DBG: Omega: 0.333 rad / s | 19.076 deg / s) 
Sphere 1, 91.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 92.0s, DBG: Omega: 0.332 rad / s | 19.035 deg / s) 
Sphere 1, 93.0s, DBG: Omega: 0.336 rad / s | 19.276 deg / s) 
Sphere 1, 94.0s, DBG: Omega: 0.333 rad / s | 19.076 deg / s) 
Sphere 1, 95.0s, DBG: Omega: 0.334 rad / s | 19.116 deg / s) 
Sphere 1, 96.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 97.0s, DBG: Omega: 0.327 rad / s | 18.715 deg / s) 
Sphere 1, 98.0s, DBG: Omega: 0.326 rad / s | 18.675 deg / s) 
Sphere 1, 99.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 100.0s, DBG: Omega: 0.325 rad / s | 18.635 deg / s) 
Sphere 1, 101.0s, DBG: Omega: 0.324 rad / s | 18.555 deg / s) 
Sphere 1, 102.0s, DBG: Omega: 0.322 rad / s | 18.475 deg / s) 
Sphere 1, 103.0s, DBG: Omega: 0.322 rad / s | 18.435 deg / s) 
Sphere 1, 104.0s, DBG: Omega: 0.326 rad / s | 18.675 deg / s) 
Sphere 1, 105.0s, DBG: Omega: 0.329 rad / s | 18.835 deg / s) 
Sphere 1, 106.0s, DBG: Omega: 0.328 rad / s | 18.795 deg / s) 
Sphere 1, 107.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 108.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 109.0s, DBG: Omega: 0.333 rad / s | 19.076 deg / s) 
Sphere 1, 110.0s, DBG: Omega: 0.329 rad / s | 18.875 deg / s) 
Sphere 1, 111.0s, DBG: Omega: 0.330 rad / s | 18.915 deg / s) 
Sphere 1, 112.0s, DBG: Omega: 0.331 rad / s | 18.955 deg / s) 
Sphere 1, 113.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 114.0s, DBG: Omega: 0.339 rad / s | 19.396 deg / s) 
Sphere 1, 115.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 116.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 117.0s, DBG: Omega: 0.332 rad / s | 18.995 deg / s) 
Sphere 1, 118.0s, DBG: Omega: 0.334 rad / s | 19.156 deg / s) 
Sphere 1, 119.0s, DBG: Omega: 0.334 rad / s | 19.116 deg / s) 
Sphere 1, 120.0s, DBG: Omega: 0.337 rad / s | 19.316 deg / s) 
Sphere 1, 121.0s, DBG: Omega: 0.335 rad / s | 19.196 deg / s) 
Sphere 1, 122.0s, DBG: Omega: 0.334 rad / s | 19.116 deg / s) 
Sphere 1, 123.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 124.0s, DBG: Omega: 0.338 rad / s | 19.356 deg / s) 
Sphere 1, 125.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 126.0s, DBG: Omega: 0.342 rad / s | 19.596 deg / s) 
Sphere 1, 127.0s, DBG: Omega: 0.343 rad / s | 19.636 deg / s) 
Sphere 1, 128.0s, DBG: Omega: 0.345 rad / s | 19.756 deg / s) 
Sphere 1, 129.0s, DBG: Omega: 0.347 rad / s | 19.876 deg / s) 
Sphere 1, 130.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 131.0s, DBG: Omega: 0.346 rad / s | 19.836 deg / s) 
Sphere 1, 132.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 133.0s, DBG: Omega: 0.343 rad / s | 19.676 deg / s) 
Sphere 1, 134.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 135.0s, DBG: Omega: 0.341 rad / s | 19.556 deg / s) 
Sphere 1, 136.0s, DBG: Omega: 0.341 rad / s | 19.516 deg / s) 
Sphere 1, 137.0s, DBG: Omega: 0.341 rad / s | 19.516 deg / s) 
Sphere 1, 138.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
Sphere 1, 139.0s, DBG: Omega: 0.343 rad / s | 19.636 deg / s) 
Sphere 1, 140.0s, DBG: Omega: 0.341 rad / s | 19.556 deg / s) 
Sphere 1, 141.0s, DBG: Omega: 0.341 rad / s | 19.556 deg / s) 
Sphere 1, 142.0s, DBG: Omega: 0.342 rad / s | 19.596 deg / s) 
Sphere 1, 143.0s, DBG: Omega: 0.340 rad / s | 19.476 deg / s) 
Sphere 1, 144.0s, DBG: Omega: 0.343 rad / s | 19.676 deg / s) 
Sphere 1, 145.0s, DBG: Omega: 0.345 rad / s | 19.756 deg / s) 
Sphere 1, 146.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 147.0s, DBG: Omega: 0.345 rad / s | 19.756 deg / s) 
Sphere 1, 148.0s, DBG: Omega: 0.344 rad / s | 19.716 deg / s) 
Sphere 1, 149.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 150.0s, DBG: Omega: 0.341 rad / s | 19.516 deg / s) 
Sphere 1, 151.0s, DBG: Omega: 0.346 rad / s | 19.836 deg / s) 
Sphere 1, 152.0s, DBG: Omega: 0.347 rad / s | 19.876 deg / s) 
Sphere 1, 153.0s, DBG: Omega: 0.346 rad / s | 19.796 deg / s) 
Sphere 1, 154.0s, DBG: Omega: 0.344 rad / s | 19.716 deg / s) 
Sphere 1, 155.0s, DBG: Omega: 0.343 rad / s | 19.636 deg / s) 
Sphere 1, 156.0s, DBG: Omega: 0.339 rad / s | 19.436 deg / s) 
